Wavelength (nm),Absorbance 1 (Au),Absorbance 2 (Au),Absorbance 3 (Au)
330, 0.4323, 0.4321, 0.4330
355, 0.3021, 0.3023, 0.3123
380, 0.2321, 0.2333, 0.2300
405, 0.3321, 0.3320, 0.3333
430, 0.3323, 0.2323, 0.3331
455, 0.3213, 0.3223, 0.3222
480, 0.3132, 0.3133, 0.3121
505, 0.2313, 0.2310, 0.2333
530, 0.3023, 0.3032, 0.3033
555, 0.2320, 0.2313, 0.2331
580, 0.2333, 0.2323, 0.2323
605, 0.2203, 0.2203, 0.2203
630, 0.2112, 0.2103, 0.2102
655, 0.2322, 0.2333, 0.2312
680, 0.2031, 0.2030, 0.2033
705, 0.3323, 0.3333, 0.3332
730, 0.2022, 0.2022, 0.2021
755, 0.3311, 0.3303, 0.3302
780, 0.3302, 0.3303, 0.3231
805, 0.3323, 0.3322, 0.3323
830, 0.3301, 0.3302, 0.3303
855, 0.3221, 0.3223, 0.3233
880, 0.3223, 0.3222, 0.3220
905, 0.3232, 0.3231, 0.3213
930, 0.3220, 0.3233, 0.3220
955, 0.2322, 0.2333, 0.2332
980, 0.3221, 0.3223, 0.3230
1005, 0.3320, 0.3333, 0.3313
1030, 0.3231, 0.3230, 0.3223
1055, 0.3233, 0.3233, 0.3233
1080, 0.3031, 0.3132, 0.3032
1105, 0.3120, 0.3132, 0.3122
