Wavelength (nm),Absorbance 1 (Au),Absorbance 2 (Au),Absorbance 3 (Au)
330, 0.0577, 0.0578, 0.0574
355, 0.0258, 0.0259, 0.0259
380, 0.0052, 0.0051, 0.0052
405, 0.0086, 0.0085, 0.0085
430, 0.0169, 0.0168, 0.0167
455, 0.0214, 0.0215, 0.0214
480, 0.0227, 0.0228, 0.0227
505, 0.0139, 0.0140, 0.0141
530, 0.0277, 0.0278, 0.0277
555, 0.0278, 0.0280, 0.0281
580, 0.0002, 0.0003, 0.0002
605, 0.0268, 0.0268, 0.0269
630, 0.0448, 0.0449, 0.0450
655, 0.0268, 0.0269, 0.0268
680, 0.0282, 0.0283, 0.0283
705, 0.0301, 0.0300, 0.0301
730, 0.0211, 0.0210, 0.0212
755, 0.0198, 0.0200, 0.0199
780, 0.0207, 0.0280, 0.0208
805, 0.0238, 0.0238, 0.0238
830, 0.0186, 0.0187, 0.0188
855, 0.0145, 0.0146, 0.0146
880, 0.0050, 0.0049, 0.0051
905, 0.0007, 0.0006, 0.0007
930, 0.0253, 0.0254, 0.0253
955, 0.1378, 0.1378, 0.1378
980, 0.1703, 0.1704, 0.1703
1005, 0.1183, 0.1182, 0.1182
1030, 0.0623, 0.0623, 0.0622
1055, 0.0348, 0.0349, 0.0347
1080, 0.0338, 0.0337, 0.0336
1105, 0.0829, 0.0828, 0.0827
