Wavelength (nm),Absorbance 1 (Au),Absorbance 2 (Au),Absorbance 3 (Au)
330, 0.4591, 0.4592, 0.4594
355, 0.0835, 0.0835, 0.0837
380, 0.0322, 0.0321, 0.0322
405, 0.0158, 0.0158, 0.0159
430, 0.0307, 0.0307, 0.0307
455, 0.0376, 0.0375, 0.0376
480, 0.0297, 0.0296, 0.0295
505, 0.0302, 0.0302, 0.0302
530, 0.0330, 0.0329, 0.0330
555, 0.0350, 0.0350, 0.0351
580, 0.0328, 0.0329, 0.0328
605, 0.0314, 0.0313, 0.0314
630, 0.0305, 0.0305, 0.0305
655, 0.0306, 0.0305, 0.0306
680, 0.0321, 0.0322, 0.0322
705, 0.0298, 0.0298, 0.0299
730, 0.0250, 0.0250, 0.0251
755, 0.0766, 0.0765, 0.0766
780, 0.0217, 0.0218, 0.0217
805, 0.0219, 0.0219, 0.0220
830, 0.0195, 0.0195 .0.0196
855, 0.0162, 0.0163, 0.0163
880, 0.0122, 0.0122, 0.0122
905, 0.0041, 0.0040, 0.0040
930, 0.0236, 0.0236, 0.0235
955, 0.1067, 0.1068, 0.106
980, 0.1430, 0.1329, 0.1429
1005, 0.1157, 0.1156, 0.1155
1030, 0.0687, 0.0686, 0.0686
1055, 0.0409, 0.0408, 0.0407
1080, 0.0366, 0.0365, 0.0365
1105, 0.0793, 0.0794, 0.0793
