Wavelength (nm),Absorbance 1 (Au),Absorbance 2 (Au),Absorbance 3 (Au)
330, 0.1681, 0.1685, 0.1683
355, 0.0320, 0.0323, 0.0322
380, 0.0443, 0.0442, 0.0441
405, 0.0449, 0.0448, 0.0449
430, 0.0408, 0.0409, 0.0410
455, 0.0417, 0.0418, 0.0419
480, 0.0363, 0.0364, 0.0365
505, 0.0356, 0.0357, 0.0357
530, 0.0359, 0.0362, 0.0364
555, 0.0365, 0.0366, 0.0367
580, 0.0347, 0.0348, 0.0348
605, 0.0331, 0.0328, 0.0333
630, 0.0309, 0.0310, 0.0311
655, 0.0332, 0.0333, 0.0332
680, 0.0322, 0.0323, 0.0322
705, 0.0321, 0.0322, 0.0322
730, 0.0255, 0.0254, 0.0255
755, 0.0194, 0.0195, 0.0195
780, 0.0202, 0.0204, 0.0203
805, 0.0231, 0.0232, 0.0232
830, 0.0205, 0.0205, 0.0205
855, 0.0121, 0.0121, 0.0120
880, 0.0100, 0.0101, 0.0101
905, 0.0018, 0.0018, 0.0018
930, 0.0272, 0.0272, 0.0272
955, 0.1509, 0.1508, 0.1507
980, 0.1760, 0.1760, 0.1760
1005, 0.1313, 0.1314, 0.1313
1030, 0.0763, 0.0762, 0.0762
1055, 0.0409, 0.0408, 0.0407
1080, 0.0428, 0.0426, 0.0426
1105, 0.0566, 0.0563, 0.0562
