Trial, Temperature (˚C), Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 5, 330, 0.0588, 0.0009
2, 5, 330, 0.0584, 0.0004
3, 5, 330, 0.0586, 0.0003
4, 5, 330, 0.0587, 0.0007
5, 5, 330, 0.0591, 0.0008
 
1, 10, 330, 0.0584, 0.0020
2, 10, 330, 0.0586, 0.0022
3, 10, 330, 0.0588, 0.0021
4, 10, 330, 0.0587, 0.0024
5, 10, 330, 0.0592, 0.0025

1, 15, 330, 0.0586, 0.0080
2, 15, 330, 0.0584, 0.0081
3, 15, 330, 0.0587, 0.0082
4, 15, 330, 0.0588, 0.0083
5, 15, 330, 0.0594, 0.0082

1, 20, 330, 0.0596, 0.0026
2, 20, 330, 0.0587, 0.0031
3, 20, 330, 0.0584, 0.0027
4, 20, 330, 0.0586, 0.0032
5, 20, 330, 0.0588, 0.0028

1, 25, 330, 0.0593, 0.0092
2, 25, 330, 0.0588, 0.0091
3, 25, 330, 0.0589, 0.0094
4, 25, 330, 0.0587, 0.0095
5, 25, 330, 0.0586, 0.0096

1, 30, 330, 0.0593, 0.0426
2, 30, 330, 0.0584, 0.0425
3, 30, 330, 0.0586, 0.0428
4, 30, 330, 0.0588, 0.0421
5, 30, 330, 0.0587, 0.0423

1, 35, 330, 0.0592, 0.0391
2, 35, 330, 0.0588, 0.0392
3, 35, 330, 0.0584, 0.0393
4, 35, 330, 0.0587, 0.0391
5, 35, 330, 0.0586, 0.0398

1, 40, 330, 0.0584, 0.0384
2, 40, 330, 0.0595, 0.0389
3, 40, 330, 0.0588, 0.0386
4, 40, 330, 0.0586, 0.0391
5, 40, 330, 0.0587, 0.0393

1, 45, 330, 0.0588, 0.0424
2, 45, 330, 0.0584, 0.0427
3, 45, 330, 0.0591, 0.0420
4, 45, 330, 0.0586, 0.0424
5, 45, 330, 0.0587, 0.0425

1, 50, 330, 0.0596, 0.0436
2, 50, 330, 0.0584, 0.0433
3, 50, 330, 0.0587, 0.0432
4, 50, 330, 0.0586, 0.0431
5, 50, 330, 0.0588, 0.0439
