Trial, Temperature (˚C), Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 5, 330, 0.0577, 0.0522
2, 5, 330, 0.0574, 0.0526
3, 5, 330, 0.0578, 0.0528
4, 5, 330, 0.0579, 0.0525
5, 5, 330, 0.0575, 0.0523

1, 10, 330, 0.0578, 0.0512
2, 10, 330, 0.0579, 0.0517
3, 10, 330, 0.0574, 0.0516
4, 10, 330, 0.0572, 0.0514
5, 10, 330, 0.0576, 0.0513

1, 15, 330, 0.0577, 0.0507
2, 15, 330, 0.0572, 0.0508
3, 15, 330, 0.0574, 0.0509
4, 15, 330, 0.0572, 0.0501
5, 15, 330, 0.0579, 0.0503

1, 20, 330, 0.0576, 0.0493
2, 20, 330, 0.0577, 0.0492
3, 20, 330, 0.0574, 0.0498
4, 20, 330, 0.0572, 0.0496
5, 20, 330, 0.0581, 0.0490

1, 25, 330, 0.0579, 0.0428
2, 25, 330, 0.0574, 0.0426
3, 25, 330, 0.0577, 0.0427
4, 25, 330, 0.0572, 0.0421
5, 25, 330, 0.0574, 0.0422

1, 30, 330, 0.0579, 0.0403
2, 30, 330, 0.0574, 0.0405
3, 30, 330, 0.0577, 0.0408
4, 30, 330, 0.0572, 0.0409
5, 30, 330, 0.0576, 0.0404

1, 35, 330, 0.0576, 0.0389
2, 35, 330, 0.0574, 0.0387      
3, 35, 330, 0.0572, 0.0383
4, 35, 330, 0.0577, 0.0386
5, 35, 330, 0.0579, 0.0385

1, 40, 330, 0.0576, 0.0376
2, 40, 330, 0.0579, 0.0374 
3, 40, 330, 0.0574, 0.0372
4, 40, 330, 0.0577, 0.0371
5, 40, 330, 0.0572, 0.0379

1, 45, 330, 0.0576, 0.0370
2, 45, 330, 0.0574, 0.0371
3, 45, 330, 0.0572, 0.0372
4, 45, 330, 0.0577, 0.0373
5, 45, 330, 0.0579, 0.0373

1, 50, 330, 0.0574, 0.0368  
2, 50, 330, 0.0572, 0.0367
3, 50, 330, 0.0576, 0.0368
4, 50, 330, 0.0579, 0.0366
5, 50, 330, 0.0577, 0.0365
