Trial, Temperature, Wavelength, Absorbance0, Absorbance1
1, 5, 330, 0.4323, 0.2941
2, 5, 330, 0.4321, 0.2944
3, 5, 330, 0.4325, 0.2947
4, 5, 330, 0.4322, 0.2946
5, 5, 330, 0.4324, 0.2943

1, 10, 330, 0.4321, 0.3035
2, 10, 330, 0.4323, 0.3034
3, 10, 330, 0.4322, 0.3031
4, 10, 330, 0.4329, 0.3033
5, 10, 330, 0.4321, 0.3032

1, 15, 330, 0.4323, 0.3357
2, 15, 330, 0.4322, 0.3359
3, 15, 330, 0.4326, 0.3358
4, 15, 330, 0.4325, 0.3351
5, 15, 330, 0.4321, 0.3352

1, 20, 330, 0.4326, 0.3550  
2, 20, 330, 0.4323, 0.3559
3, 20, 330, 0.4322, 0.3551
4, 20, 330, 0.4326, 0.3556
5, 20, 330, 0.4321, 0.3552

1, 25, 330, 0.4322, 0.3652
2, 25, 330, 0.4321, 0.3651
3, 25, 330, 0.4323, 0.3653
4, 25, 330, 0.4324, 0.3653
5, 25, 330, 0.4326, 0.3654

1, 30, 330, 0.4328, 0.3875
2, 30, 330, 0.4321, 0.3873
3, 30, 330, 0.4322, 0.3872
4, 30, 330, 0.4326, 0.3871
5, 30, 330, 0.4323, 0.3877

1, 35, 330, 0.4326, 0.4004
2, 35, 330, 0.4320, 0.4005
3, 35, 330, 0.4323, 0.4008
4, 35, 330, 0.4322, 0.4007
5, 35, 330, 0.4321, 0.4002
 
1, 40, 330, 0.4326, 0.4132
2, 40, 330, 0.4321, 0.4136
3, 40, 330, 0.4322, 0.4132
4, 40, 330, 0.4323, 0.4131
5, 40, 330, 0.4327, 0.4137

1, 45, 330, 0.4322, 0.4184
2, 45, 330, 0.4323, 0.4182
3, 45, 330, 0.4326, 0.4183
4, 45, 330, 0.4324, 0.4186
5, 45, 330, 0.4321, 0.4187

1, 50, 330, 0.4323, 0.4201
2, 50, 330, 0.4326, 0.4202
3, 50, 330, 0.4322, 0.4203
4, 50, 330, 0.4329, 0.4202
5, 50, 330, 0.4321, 0.4201

1, 5, 330, 0.0588, 0.0009
2, 5, 330, 0.0584, 0.0004
3, 5, 330, 0.0586, 0.0003
4, 5, 330, 0.0587, 0.0007
5, 5, 330, 0.0591, 0.0008
 
1, 10, 330, 0.0584, 0.0020
2, 10, 330, 0.0586, 0.0022
3, 10, 330, 0.0588, 0.0021
4, 10, 330, 0.0587, 0.0024
5, 10, 330, 0.0592, 0.0025

1, 15, 330, 0.0586, 0.0080
2, 15, 330, 0.0584, 0.0081
3, 15, 330, 0.0587, 0.0082
4, 15, 330, 0.0588, 0.0083
5, 15, 330, 0.0594, 0.0082

1, 20, 330, 0.0596, 0.0026
2, 20, 330, 0.0587, 0.0031
3, 20, 330, 0.0584, 0.0027
4, 20, 330, 0.0586, 0.0032
5, 20, 330, 0.0588, 0.0028

1, 25, 330, 0.0593, 0.0092
2, 25, 330, 0.0588, 0.0091
3, 25, 330, 0.0589, 0.0094
4, 25, 330, 0.0587, 0.0095
5, 25, 330, 0.0586, 0.0096

1, 30, 330, 0.0593, 0.0426
2, 30, 330, 0.0584, 0.0425
3, 30, 330, 0.0586, 0.0428
4, 30, 330, 0.0588, 0.0421
5, 30, 330, 0.0587, 0.0423

1, 35, 330, 0.0592, 0.0391
2, 35, 330, 0.0588, 0.0392
3, 35, 330, 0.0584, 0.0393
4, 35, 330, 0.0587, 0.0391
5, 35, 330, 0.0586, 0.0398

1, 40, 330, 0.0584, 0.0384
2, 40, 330, 0.0595, 0.0389
3, 40, 330, 0.0588, 0.0386
4, 40, 330, 0.0586, 0.0391
5, 40, 330, 0.0587, 0.0393

1, 45, 330, 0.0588, 0.0424
2, 45, 330, 0.0584, 0.0427
3, 45, 330, 0.0591, 0.0420
4, 45, 330, 0.0586, 0.0424
5, 45, 330, 0.0587, 0.0425

1, 50, 330, 0.0596, 0.0436
2, 50, 330, 0.0584, 0.0433
3, 50, 330, 0.0587, 0.0432
4, 50, 330, 0.0586, 0.0431
5, 50, 330, 0.0588, 0.0439

1, 5, 330, 0.0577, 0.0522
2, 5, 330, 0.0574, 0.0526
3, 5, 330, 0.0578, 0.0528
4, 5, 330, 0.0579, 0.0525
5, 5, 330, 0.0575, 0.0523

1, 10, 330, 0.0578, 0.0512
2, 10, 330, 0.0579, 0.0517
3, 10, 330, 0.0574, 0.0516
4, 10, 330, 0.0572, 0.0514
5, 10, 330, 0.0576, 0.0513

1, 15, 330, 0.0577, 0.0507
2, 15, 330, 0.0572, 0.0508
3, 15, 330, 0.0574, 0.0509
4, 15, 330, 0.0572, 0.0501
5, 15, 330, 0.0579, 0.0503

1, 20, 330, 0.0576, 0.0493
2, 20, 330, 0.0577, 0.0492
3, 20, 330, 0.0574, 0.0498
4, 20, 330, 0.0572, 0.0496
5, 20, 330, 0.0581, 0.0490

1, 25, 330, 0.0579, 0.0428
2, 25, 330, 0.0574, 0.0426
3, 25, 330, 0.0577, 0.0427
4, 25, 330, 0.0572, 0.0421
5, 25, 330, 0.0574, 0.0422

1, 30, 330, 0.0579, 0.0403
2, 30, 330, 0.0574, 0.0405
3, 30, 330, 0.0577, 0.0408
4, 30, 330, 0.0572, 0.0409
5, 30, 330, 0.0576, 0.0404

1, 35, 330, 0.0576, 0.0389
2, 35, 330, 0.0574, 0.0387      
3, 35, 330, 0.0572, 0.0383
4, 35, 330, 0.0577, 0.0386
5, 35, 330, 0.0579, 0.0385

1, 40, 330, 0.0576, 0.0376
2, 40, 330, 0.0579, 0.0374 
3, 40, 330, 0.0574, 0.0372
4, 40, 330, 0.0577, 0.0371
5, 40, 330, 0.0572, 0.0379

1, 45, 330, 0.0576, 0.0370
2, 45, 330, 0.0574, 0.0371
3, 45, 330, 0.0572, 0.0372
4, 45, 330, 0.0577, 0.0373
5, 45, 330, 0.0579, 0.0373

1, 50, 330, 0.0574, 0.0368  
2, 50, 330, 0.0572, 0.0367
3, 50, 330, 0.0576, 0.0368
4, 50, 330, 0.0579, 0.0366
5, 50, 330, 0.0577, 0.0365

1, 5, 330, 0.4591, 0.1653
2, 5, 330, 0.4593, 0.1652
3, 5, 330, 0.4594, 0.1660
4, 5, 330, 0.4592, 0.1658
5, 5, 330, 0.4592, 0.1656
 
1, 10, 330, 0.4591, 0.1832
2, 10, 330, 0.4592, 0.1834
3, 10, 330, 0.4591, 0.1839
4, 10, 330, 0.4592, 0.1840
5, 10, 330, 0.4591, 0.1821

1, 15, 330, 0.4591, 0.2074
2, 15, 330, 0.4591, 0.2070
3, 15, 330, 0.4592, 0.2085
4, 15, 330, 0.4592, 0.2076
5, 15, 330, 0.4592, 0.2073

1, 20, 330, 0.4591, 0.2456     
2, 20, 330, 0.4592, 0.2453      
3, 20, 330, 0.4591, 0.2456
4, 20, 330, 0.4593, 0.2460     
5, 20, 330, 0.4594, 0.2452

1, 25, 330, 0.4591, 0.3272   
2, 25, 330, 0.4593, 0.3279
3, 25, 330, 0.4592, 0.3271
4, 25, 330, 0.4593, 0.3281
5, 25, 330, 0.4592, 0.3277

1, 30, 330, 0.4592, 0.4199
2, 30, 330, 0.4593, 0.4201
3, 30, 330, 0.4592, 0.4243
4, 30, 330, 0.4591, 0.4193
5, 30, 330, 0.4591, 0.4191

1, 35, 330, 0.4593, 0.4312
2, 35, 330, 0.4594, 0.4302
3, 35, 330, 0.4592, 0.4313
4, 35, 330, 0.4591, 0.4315
5, 35, 330, 0.4591, 0.4317

1, 40, 330, 0.4591, 0.4365
2, 40, 330, 0.4592, 0.4360
3, 40, 330, 0.4592, 0.4351
4, 40, 330, 0.4593, 0.4359
5, 40, 330, 0.4591, 0.4358
 
1, 45, 330, 0.4592, 0.4475
2, 45, 330, 0.4595, 0.4479
3, 45, 330, 0.4593, 0.4470
4, 45, 330, 0.4596, 0.4476
5, 45, 330, 0.4591, 0.4480

1, 50, 330, 0.4594, 0.4498
2, 50, 330, 0.4594, 0.4491
3, 50, 330, 0.4591, 0.4492
4, 50, 330, 0.4592, 0.4497
5, 50, 330, 0.4592, 0.4496

1, 5, 330, 0.1685, 0.1461
2, 5, 330, 0.1684, 0.1462
3, 5, 330, 0.1683, 0.1467
4, 5, 330, 0.1682, 0.1465
5, 5, 330, 0.1687, 0.1468

1, 10, 330, 0.1688, 0.1478
2, 10, 330, 0.1689, 0.1481
3, 10, 330, 0.1683, 0.1485
4, 10, 330, 0.1685, 0.1483
5, 10, 330, 0.1686, 0.1482

1, 15, 330, 0.1689, 0.1495
2, 15, 330, 0.1688, 0.1492
3, 15, 330, 0.1685, 0.1494
4, 15, 330, 0.1684, 0.1493
5, 15, 330, 0.1682, 0.1492

1, 20, 330, 0.1685, 0.1523
2, 20, 330, 0.1683, 0.1522
3, 20, 330, 0.1688, 0.1524
4, 20, 330, 0.1686, 0.1525
5, 20, 330, 0.1682, 0.1526

1, 25, 330, 0.1681, 0.1537
2, 25, 330, 0.1684, 0.1536
3, 25, 330, 0.1685, 0.1535
4, 25, 330, 0.1689, 0.1534
5, 25, 330, 0.1683, 0.1533

1, 30, 330, 0.1685, 0.1562
2, 30, 330, 0.1682, 0.1563
3, 30, 330, 0.1683, 0.1564
4, 30, 330, 0.1684, 0.1562
5, 30, 330, 0.1681, 0.1563

1, 35, 330, 0.1686, 0.1587
2, 35, 330, 0.1687, 0.1585
3, 35, 330, 0.1688, 0.1583
4, 35, 330, 0.1681, 0.1582
5, 35, 330, 0.1682, 0.1589

1, 40, 330, 0.1688, 0.1621
2, 40, 330, 0.1685, 0.1623
3, 40, 330, 0.1684, 0.1624
4, 40, 330, 0.1683, 0.1622
5, 40, 330, 0.1682, 0.1627

1, 45, 330, 0.1682, 0.1631
2, 45, 330, 0.1681, 0.1632
3, 45, 330, 0.1683, 0.1633
4, 45, 330, 0.1684, 0.1634
5, 45, 330, 0.1678, 0.1630

1, 50, 330, 0.1683, 0.1651
2, 50, 330, 0.1685, 0.1652
3, 50, 330, 0.1687, 0.1653
4, 50, 330, 0.1683, 0.1651
5, 50, 330, 0.1682, 0.1655
