,Temperature (˚C),Wavelength (nm),Absorbance Before (Au),Absorbance After (Au),Percent Difference (%),Mean Difference,Standard Deviation,Interval,Lower Bound,Upper Bound,Confidence Interval
0,5.0,330.0,0.058719999999999994,0.00062,-98.94527373899125,-0.0581,0.000187082869338695,0.00023229406353851686,-0.058332294063538515,-0.05786770593646148,-0.0581 ± 0.00023
1,10.0,330.0,0.05874,0.00224,-96.18761773581669,-0.056499999999999995,0.00018708286933869685,0.0002322940635385192,-0.05673229406353852,-0.05626770593646147,-0.0565 ± 0.00023
2,15.0,330.0,0.05878,0.00816,-86.11771283704167,-0.05062,0.0003420526275297431,0.0004247144330946845,-0.05104471443309468,-0.050195285566905314,-0.05062 ± 0.00042
3,20.0,330.0,0.058820000000000004,0.0028799999999999997,-95.10211006332585,-0.055940000000000004,0.0006308724118235011,0.0007833315612212215,-0.056723331561221224,-0.05515666843877878,-0.05594 ± 0.00078
4,25.0,330.0,0.05886,0.00936,-84.09679674522366,-0.0495,0.00043011626335212957,0.0005340598792462694,-0.05003405987924627,-0.04896594012075373,-0.0495 ± 0.00053
5,30.0,330.0,0.05876,0.04246,-27.73808103808393,-0.016300000000000002,0.0004301162633521316,0.0005340598792462718,-0.016834059879246275,-0.01576594012075373,-0.0163 ± 0.00053
6,35.0,330.0,0.05874,0.0393,-33.092709200263066,-0.01944,0.0005029910535983725,0.0006245458826716802,-0.02006454588267168,-0.01881545411732832,-0.01944 ± 0.00062
7,40.0,330.0,0.0588,0.03886,-33.90960396767522,-0.01994,0.0004979959839195496,0.0006183436844829664,-0.020558343684482967,-0.019321656315517032,-0.01994 ± 0.00062
8,45.0,330.0,0.058719999999999994,0.04240000000000001,-27.790347032045766,-0.016319999999999998,0.0005069516742254623,0.0006294636427148808,-0.01694946364271488,-0.015690536357285116,-0.01632 ± 0.00063
9,50.0,330.0,0.058820000000000004,0.04342,-26.17958028306188,-0.0154,0.00042426406871192926,0.0005267934198510515,-0.01592679341985105,-0.01487320658014895,-0.0154 ± 0.00053
