,Temperature (˚C),Wavelength (nm),Absorbance Before (Au),Absorbance After (Au),Percent Difference (%),Mean Difference,Standard Deviation,Interval,Lower Bound,Upper Bound,Confidence Interval
0,5.0,330.0,0.16842,0.14645999999999998,-13.038764631761461,-0.021959999999999997,0.00033615472627943234,0.0004173912214472127,-0.02237739122144721,-0.021542608778552783,-0.02196 ± 0.00042
1,10.0,330.0,0.16862,0.14818,-12.121643629156605,-0.020440000000000007,0.0004774934554525285,0.0005928864330133186,-0.021032886433013324,-0.01984711356698669,-0.02044 ± 0.00059
2,15.0,330.0,0.16856,0.14931999999999998,-11.414178255438044,-0.01924,0.00025099800796022596,0.000311655190105075,-0.019551655190105075,-0.018928344809894925,-0.01924 ± 0.00031
3,20.0,330.0,0.16848000000000002,0.1524,-9.544007165832033,-0.01608,0.0002949576240750643,0.0003662382628097278,-0.016446238262809727,-0.015713761737190274,-0.01608 ± 0.00037
4,25.0,330.0,0.16844,0.1535,-8.869337818097598,-0.014940000000000004,0.0003974921382870325,0.0004935516776800412,-0.015433551677680044,-0.014446448322319963,-0.01494 ± 0.00049
5,30.0,330.0,0.1683,0.15628,-7.141921581824616,-0.012019999999999998,0.0002167948338867878,0.00026918634023379034,-0.012289186340233788,-0.011750813659766208,-0.01202 ± 0.00027
6,35.0,330.0,0.16848000000000002,0.15852,-5.911396950368862,-0.009959999999999991,0.0004449719092257507,0.000552505599897609,-0.0105125055998976,-0.009407494400102382,-0.00996 ± 0.00055
7,40.0,330.0,0.16844,0.16233999999999998,-3.6212123528685085,-0.0060999999999999995,0.00043011626335214367,0.0005340598792462869,-0.006634059879246286,-0.005565940120753713,-0.0061 ± 0.00053
8,45.0,330.0,0.16816,0.1632,-2.9495181922795752,-0.004959999999999997,0.00011401754250991463,0.0001415714776982285,-0.005101571477698226,-0.004818428522301769,-0.00496 ± 0.00014
9,50.0,330.0,0.1684,0.16524,-1.8763668057070166,-0.003159999999999996,0.0002701851217221316,0.00033547913849267324,-0.0034954791384926693,-0.002824520861507323,-0.00316 ± 0.00034
