Trial, pH, Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 1, 330, 0.4324, 0.2818
2, 1, 330, 0.4323, 0.2811
3, 1, 330, 0.4324, 0.2815
4, 1, 330, 0.4322, 0.2814
5, 1, 330, 0.4321, 0.2814

1, 4, 330, 0.4324, 0.3184
2, 4, 330, 0.4323, 0.3181
3, 4, 330, 0.4322, 0.3187
4, 4, 330, 0.4324, 0.3185
5, 4, 330, 0.4321, 0.3186

1, 7, 330, 0.4322, 0.3652
2, 7, 330, 0.4321, 0.3651 
3, 7, 330, 0.4323, 0.3653 
4, 7, 330, 0.4324, 0.3653
5, 7, 330, 0.4326, 0.3654

1, 10, 330, 0.4322, 0.3842
2, 10, 330, 0.4324, 0.3841
3, 10, 330, 0.4321, 0.3844
4, 10, 330, 0.4323, 0.3847
5, 10, 330, 0.4324, 0.3847

1, 13, 330, 0.4323, 0.4187
2, 13, 330, 0.4324, 0.4183
3, 13, 330, 0.4322, 0.4185
4, 13, 330, 0.4324, 0.4181
5, 13, 330, 0.4321, 0.4189
