Trial, pH, Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 1, 330, 0.0581, 0.0058
2, 1, 330, 0.0593, 0.0052
3, 1, 330, 0.0589, 0.0055
4, 1, 330, 0.0593, 0.0051
5, 1, 330, 0.0586, 0.0051

1, 4, 330, 0.0593, 0.0073
2, 4, 330, 0.0589, 0.0079
3, 4, 330, 0.0581, 0.0075
4, 4, 330, 0.0593, 0.0071
5, 4, 330, 0.0586, 0.0076

1, 7, 330, 0.0593, 0.0092
2, 7, 330, 0.0588, 0.0091
3, 7, 330, 0.0589, 0.0094
4, 7, 330, 0.0587, 0.0095
5, 7, 330, 0.0586, 0.0096

1, 10, 330, 0.0593, 0.0286
2, 10, 330, 0.0589, 0.0281
3, 10, 330, 0.0593, 0.0282
4, 10, 330, 0.0586, 0.0286
5, 10, 330, 0.0581, 0.0284

1, 13, 330, 0.0581, 0.0479
2, 13, 330, 0.0593, 0.0478
3, 13, 330, 0.0586, 0.0471
4, 13, 330, 0.0589, 0.0479
5, 13, 330, 0.0593, 0.0473
