Trial, pH, Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 1, 330, 0.0577, 0.0215
2, 1, 330, 0.0572, 0.0214
3, 1, 330, 0.0574, 0.0218
4, 1, 330, 0.0572, 0.0211
5, 1, 330, 0.0574, 0.0215

1, 4, 330, 0.0572, 0.0286
2, 4, 330, 0.0577, 0.0288
3, 4, 330, 0.0574, 0.0286
4, 4, 330, 0.0572, 0.0281
5, 4, 330, 0.0574, 0.0287

1, 7, 330, 0.0579, 0.0428
2, 7, 330, 0.0574, 0.0426
3, 7, 330, 0.0577, 0.0427
4, 7, 330, 0.0572, 0.0421
5, 7, 330, 0.0574, 0.0422

1, 10, 330, 0.0572, 0.0484
2, 10, 330, 0.0574, 0.0487
3, 10, 330, 0.0577, 0.0484
4, 10, 330, 0.0572, 0.0485
5, 10, 330, 0.0574, 0.0481

1, 13, 330, 0.0577, 0.0559
2, 13, 330, 0.0572, 0.0555
3, 13, 330, 0.0574, 0.0559
4, 13, 330, 0.0572, 0.0557
5, 13, 330, 0.0574, 0.0553
