Trial, pH, Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 1, 330, 0.4593, 0.2581
2, 1, 330, 0.4592, 0.2587
3, 1, 330, 0.4593, 0.2586
4, 1, 330, 0.4591, 0.2585
5, 1, 330, 0.4595, 0.2587

1, 4, 330, 0.4597, 0.2846
2, 4, 330, 0.4592, 0.2848
3, 4, 330, 0.4593, 0.2841
4, 4, 330, 0.4591, 0.2841
5, 4, 330, 0.4593, 0.2843

1, 7, 330, 0.4591, 0.3272 
2, 7, 330, 0.4593, 0.3279
3, 7, 330, 0.4592, 0.3271
4, 7, 330, 0.4592, 0.3277
5, 7, 330, 0.4593, 0.3281

1, 10, 330, 0.4593, 0.3832
2, 10, 330, 0.4596, 0.3835
3, 10, 330, 0.4592, 0.3837
4, 10, 330, 0.4593, 0.3837
5, 10, 330, 0.4591, 0.3831

1, 13, 330, 0.4591, 0.4212
2, 13, 330, 0.4593, 0.4218
3, 13, 330, 0.4592, 0.4217
4, 13, 330, 0.4593, 0.4213
5, 13, 330, 0.4591, 0.4219
