Trial, pH, Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 1, 330, 0.1683, 0.1321
2, 1, 330, 0.1689, 0.1327
3, 1, 330, 0.1683, 0.1323
4, 1, 330, 0.1689, 0.1327
5, 1, 330, 0.1681, 0.1325

1, 4, 330, 0.1683, 0.1489
2, 4, 330, 0.1689, 0.1482
3, 4, 330, 0.1689, 0.1481
4, 4, 330, 0.1683, 0.1487
5, 4, 330, 0.1681, 0.1489

1, 7, 330, 0.1681, 0.1537
2, 7, 330, 0.1684, 0.1536
3, 7, 330, 0.1685, 0.1535
4, 7, 330, 0.1689, 0.1534
5, 7, 330, 0.1683, 0.1533

1, 10, 330, 0.1683, 0.1607
2, 10, 330, 0.1683, 0.1607
3, 10, 330, 0.1681, 0.1608
4, 10, 330, 0.1681, 0.1607
5, 10, 330, 0.1689, 0.1601

1, 13, 330, 0.1689, 0.1657
2, 13, 330, 0.1683, 0.1657
3, 13, 330, 0.1689, 0.1655
4, 13, 330, 0.1681, 0.1651
5, 13, 330, 0.1683, 0.1659
