Trial, pH, Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 1, 330, 0.4324, 0.2818
2, 1, 330, 0.4323, 0.2811
3, 1, 330, 0.4324, 0.2815
4, 1, 330, 0.4322, 0.2814
5, 1, 330, 0.4321, 0.2814

1, 4, 330, 0.4324, 0.3184
2, 4, 330, 0.4323, 0.3181
3, 4, 330, 0.4322, 0.3187
4, 4, 330, 0.4324, 0.3185
5, 4, 330, 0.4321, 0.3186

1, 7, 330, 0.4322, 0.3652
2, 7, 330, 0.4321, 0.3651 
3, 7, 330, 0.4323, 0.3653 
4, 7, 330, 0.4324, 0.3653
5, 7, 330, 0.4326, 0.3654

1, 10, 330, 0.4322, 0.3842
2, 10, 330, 0.4324, 0.3841
3, 10, 330, 0.4321, 0.3844
4, 10, 330, 0.4323, 0.3847
5, 10, 330, 0.4324, 0.3847

1, 13, 330, 0.4323, 0.4187
2, 13, 330, 0.4324, 0.4183
3, 13, 330, 0.4322, 0.4185
4, 13, 330, 0.4324, 0.4181
5, 13, 330, 0.4321, 0.4189

1, 1, 330, 0.0581, 0.0058
2, 1, 330, 0.0593, 0.0052
3, 1, 330, 0.0589, 0.0055
4, 1, 330, 0.0593, 0.0051
5, 1, 330, 0.0586, 0.0051

1, 4, 330, 0.0593, 0.0073
2, 4, 330, 0.0589, 0.0079
3, 4, 330, 0.0581, 0.0075
4, 4, 330, 0.0593, 0.0071
5, 4, 330, 0.0586, 0.0076

1, 7, 330, 0.0593, 0.0092
2, 7, 330, 0.0588, 0.0091
3, 7, 330, 0.0589, 0.0094
4, 7, 330, 0.0587, 0.0095
5, 7, 330, 0.0586, 0.0096

1, 10, 330, 0.0593, 0.0286
2, 10, 330, 0.0589, 0.0281
3, 10, 330, 0.0593, 0.0282
4, 10, 330, 0.0586, 0.0286
5, 10, 330, 0.0581, 0.0284

1, 13, 330, 0.0581, 0.0479
2, 13, 330, 0.0593, 0.0478
3, 13, 330, 0.0586, 0.0471
4, 13, 330, 0.0589, 0.0479
5, 13, 330, 0.0593, 0.0473

1, 1, 330, 0.0577, 0.0215
2, 1, 330, 0.0572, 0.0214
3, 1, 330, 0.0574, 0.0218
4, 1, 330, 0.0572, 0.0211
5, 1, 330, 0.0574, 0.0215

1, 4, 330, 0.0572, 0.0286
2, 4, 330, 0.0577, 0.0288
3, 4, 330, 0.0574, 0.0286
4, 4, 330, 0.0572, 0.0281
5, 4, 330, 0.0574, 0.0287

1, 7, 330, 0.0579, 0.0428
2, 7, 330, 0.0574, 0.0426
3, 7, 330, 0.0577, 0.0427
4, 7, 330, 0.0572, 0.0421
5, 7, 330, 0.0574, 0.0422

1, 10, 330, 0.0572, 0.0484
2, 10, 330, 0.0574, 0.0487
3, 10, 330, 0.0577, 0.0484
4, 10, 330, 0.0572, 0.0485
5, 10, 330, 0.0574, 0.0481

1, 13, 330, 0.0577, 0.0559
2, 13, 330, 0.0572, 0.0555
3, 13, 330, 0.0574, 0.0559
4, 13, 330, 0.0572, 0.0557
5, 13, 330, 0.0574, 0.0553

1, 1, 330, 0.4593, 0.2581
2, 1, 330, 0.4592, 0.2587
3, 1, 330, 0.4593, 0.2586
4, 1, 330, 0.4591, 0.2585
5, 1, 330, 0.4595, 0.2587

1, 4, 330, 0.4597, 0.2846
2, 4, 330, 0.4592, 0.2848
3, 4, 330, 0.4593, 0.2841
4, 4, 330, 0.4591, 0.2841
5, 4, 330, 0.4593, 0.2843

1, 7, 330, 0.4591, 0.3272 
2, 7, 330, 0.4593, 0.3279
3, 7, 330, 0.4592, 0.3271
4, 7, 330, 0.4592, 0.3277
5, 7, 330, 0.4593, 0.3281

1, 10, 330, 0.4593, 0.3832
2, 10, 330, 0.4596, 0.3835
3, 10, 330, 0.4592, 0.3837
4, 10, 330, 0.4593, 0.3837
5, 10, 330, 0.4591, 0.3831

1, 13, 330, 0.4591, 0.4212
2, 13, 330, 0.4593, 0.4218
3, 13, 330, 0.4592, 0.4217
4, 13, 330, 0.4593, 0.4213
5, 13, 330, 0.4591, 0.4219

1, 1, 330, 0.1683, 0.1321
2, 1, 330, 0.1689, 0.1327
3, 1, 330, 0.1683, 0.1323
4, 1, 330, 0.1689, 0.1327
5, 1, 330, 0.1681, 0.1325

1, 4, 330, 0.1683, 0.1489
2, 4, 330, 0.1689, 0.1482
3, 4, 330, 0.1689, 0.1481
4, 4, 330, 0.1683, 0.1487
5, 4, 330, 0.1681, 0.1489

1, 7, 330, 0.1681, 0.1537
2, 7, 330, 0.1684, 0.1536
3, 7, 330, 0.1685, 0.1535
4, 7, 330, 0.1689, 0.1534
5, 7, 330, 0.1683, 0.1533

1, 10, 330, 0.1683, 0.1607
2, 10, 330, 0.1683, 0.1607
3, 10, 330, 0.1681, 0.1608
4, 10, 330, 0.1681, 0.1607
5, 10, 330, 0.1689, 0.1601

1, 13, 330, 0.1689, 0.1657
2, 13, 330, 0.1683, 0.1657
3, 13, 330, 0.1689, 0.1655
4, 13, 330, 0.1681, 0.1651
5, 13, 330, 0.1683, 0.1659
