Trial, ReferenceNum, Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 1, 330, 0.4322, 0.3493
2, 1, 330, 0.4323, 0.3491
3, 1, 330, 0.4323, 0.3492
4, 1, 330, 0.4328, 0.3499
5, 1, 330, 0.4321, 0.3492

1, 4, 330, 0.4322, 0.3843
2, 4, 330, 0.4323, 0.3842
3, 4, 330, 0.4325, 0.3841
4, 4, 330, 0.4328, 0.3849
5, 4, 330, 0.4329, 0.3847

1, 5, 330, 0.4323, 0.3356
2, 5, 330, 0.4322, 0.3357
3, 5, 330, 0.4322, 0.3352
4, 5, 330, 0.4327, 0.3359
5, 5, 330, 0.4321, 0.3357

1, 3, 330, 0.4323, 0.4287
2, 3, 330, 0.4327, 0.4289
3, 3, 330, 0.4322, 0.4286
4, 3, 330, 0.4321, 0.4287
5, 3, 330, 0.4328, 0.4282

1, 2, 330, 0.4322, 0.3652
2, 2, 330, 0.4321, 0.3651 
3, 2, 330, 0.4323, 0.3653 
4, 2, 330, 0.4324, 0.3653
5, 2, 330, 0.4326, 0.3654
