Trial (2min), ReferenceNum, Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 1, 330, 0.0588, 0.0384
2, 1, 330, 0.0587, 0.0382
3, 1, 330, 0.0582, 0.0380
4, 1, 330, 0.0581, 0.0383
5, 1, 330, 0.0585, 0.0389

1, 4, 330, 0.0589, 0.0463
2, 4, 330, 0.0581, 0.0462
3, 4, 330, 0.0582, 0.0468
4, 4, 330, 0.0584, 0.0467
5, 4, 330, 0.0585, 0.0462

1, 5, 330, 0.0588, 0.0537
2, 5, 330, 0.0580, 0.0532
3, 5, 330, 0.0585, 0.0531
4, 5, 330, 0.0583, 0.0539
5, 5, 330, 0.0582, 0.0534

1, 3, 330, 0.0581, 0.0501
2, 3, 330, 0.0582, 0.0508
3, 3, 330, 0.0585, 0.0509
4, 3, 330, 0.0587, 0.0507
5, 3, 330, 0.0580, 0.0502

1, 2, 330, 0.0593, 0.0092
2, 2, 330, 0.0588, 0.0091
3, 2, 330, 0.0589, 0.0094
4, 2, 330, 0.0587, 0.0095
5, 2, 330, 0.0586, 0.0096
