Trial (2min), ReferenceNum, Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 1, 330, 0.0577, 0.0438
2, 1, 330, 0.0574, 0.0439
3, 1, 330, 0.0572, 0.0431
4, 1, 330, 0.0577, 0.0432
5, 1, 330, 0.0579, 0.0437

1, 4, 330, 0.0577, 0.0559
2, 4, 330, 0.0573, 0.0553
3, 4, 330, 0.0575, 0.0555
4, 4, 330, 0.0579, 0.0554
5, 4, 330, 0.0572, 0.0550

1, 5, 330, 0.0571, 0.0367
2, 5, 330, 0.0573, 0.0368
3, 5, 330, 0.0575, 0.0362
4, 5, 330, 0.0570, 0.0361
5, 5, 330, 0.0579, 0.0363

1, 3, 330, 0.0572, 0.0463
2, 3, 330, 0.0571, 0.0462
3, 3, 330, 0.0575, 0.0461
4, 3, 330, 0.0577, 0.0468
5, 3, 330, 0.0579, 0.0467

1, 2, 330, 0.0579, 0.0428
2, 2, 330, 0.0574, 0.0426
3, 2, 330, 0.0577, 0.0427
4, 2, 330, 0.0572, 0.0421
5, 2, 330, 0.0574, 0.0422

#Bubble on plates
#stirred before analysis
