Trial (2min), ReferenceNum, Wavelength (nm), Absorbance Before (Au), Absorbance After (Au)
1, 1, 330, 0.1681, 0.1076
2, 1, 330, 0.1682, 0.1075
3, 1, 330, 0.1683, 0.1072
4, 1, 330, 0.1684, 0.1073
5, 1, 330, 0.1681, 0.1074

1, 4, 330, 0.1683, 0.1535
2, 4, 330, 0.1682, 0.1534
3, 4, 330, 0.1684, 0.1533
4, 4, 330, 0.1681, 0.1536
5, 4, 330, 0.1685, 0.1537

1, 5, 330, 0.1682, 0.0986
2, 5, 330, 0.1684, 0.0987
3, 5, 330, 0.1685, 0.0985
4, 5, 330, 0.1689, 0.0989
5, 5, 330, 0.1681, 0.0983

1, 3, 330, 0.1683, 0.1463
2, 3, 330, 0.1682, 0.1465
3, 3, 330, 0.1681, 0.1467
4, 3, 330, 0.1687, 0.1462
5, 3, 330, 0.1689, 0.1461

1, 2, 330, 0.1681, 0.1537
2, 2, 330, 0.1684, 0.1536
3, 2, 330, 0.1685, 0.1535
4, 2, 330, 0.1689, 0.1534
5, 2, 330, 0.1683, 0.1533

#residue on 3
