Trial,ReferenceNum,Scale,Temperature,pH,Difference
1, 2, 10, 25, 7, -0.061
2, 2, 10, 25, 7, -0.065
3, 2, 10, 25, 7, -0.07
4, 2, 10, 25, 7, -0.061
5, 2, 10, 25, 7, -0.069
6, 2, 10, 25, 7, -0.071
7, 2, 10, 25, 7, -0.061
8, 2, 10, 25, 7, -0.072
9, 2, 10, 25, 7, -0.064
10, 2, 10, 25, 7, -0.07
11, 2, 10, 25, 7, -0.065
12, 2, 10, 25, 7, -0.063
13, 2, 10, 25, 7, -0.071
14, 2, 10, 25, 7, -0.066
15, 2, 10, 25, 7, -0.073
16, 2, 10, 25, 7, -0.066
17, 2, 10, 25, 7, -0.069
18, 2, 10, 25, 7, -0.075
19, 2, 10, 25, 7, -0.073
20, 2, 10, 25, 7, -0.06
21, 2, 10, 25, 7, -0.062
22, 2, 10, 25, 7, -0.063
23, 2, 10, 25, 7, -0.068
24, 2, 10, 25, 7, -0.074
25, 2, 10, 25, 7, -0.06
26, 2, 10, 25, 7, -0.06
27, 2, 10, 25, 7, -0.065
28, 2, 10, 25, 7, -0.068
29, 2, 10, 25, 7, -0.06
30, 2, 10, 25, 7, -0.072
31, 2, 10, 25, 7, -0.062
32, 2, 10, 25, 7, -0.072
33, 2, 10, 25, 7, -0.075
34, 2, 10, 25, 7, -0.07
35, 2, 10, 25, 7, -0.073
36, 2, 10, 25, 7, -0.065
37, 2, 10, 25, 7, -0.066
38, 2, 10, 25, 7, -0.073
39, 2, 10, 25, 7, -0.068
40, 2, 10, 25, 7, -0.066
1, 2, 10, 25, 7, -0.049
2, 2, 10, 25, 7, -0.047
3, 2, 10, 25, 7, -0.045
4, 2, 10, 25, 7, -0.055
5, 2, 10, 25, 7, -0.054
6, 2, 10, 25, 7, -0.051
7, 2, 10, 25, 7, -0.045
8, 2, 10, 25, 7, -0.047
9, 2, 10, 25, 7, -0.049
10, 2, 10, 25, 7, -0.055
11, 2, 10, 25, 7, -0.053
12, 2, 10, 25, 7, -0.048
13, 2, 10, 25, 7, -0.051
14, 2, 10, 25, 7, -0.053
15, 2, 10, 25, 7, -0.046
16, 2, 10, 25, 7, -0.047
17, 2, 10, 25, 7, -0.047
18, 2, 10, 25, 7, -0.047
19, 2, 10, 25, 7, -0.054
20, 2, 10, 25, 7, -0.051
21, 2, 10, 25, 7, -0.049
22, 2, 10, 25, 7, -0.049
23, 2, 10, 25, 7, -0.046
24, 2, 10, 25, 7, -0.048
25, 2, 10, 25, 7, -0.054
26, 2, 10, 25, 7, -0.045
27, 2, 10, 25, 7, -0.054
28, 2, 10, 25, 7, -0.047
29, 2, 10, 25, 7, -0.045
30, 2, 10, 25, 7, -0.052
31, 2, 10, 25, 7, -0.052
32, 2, 10, 25, 7, -0.05
33, 2, 10, 25, 7, -0.047
34, 2, 10, 25, 7, -0.05
35, 2, 10, 25, 7, -0.05
36, 2, 10, 25, 7, -0.046
37, 2, 10, 25, 7, -0.049
38, 2, 10, 25, 7, -0.046
39, 2, 10, 25, 7, -0.045
40, 2, 10, 25, 7, -0.045
1, 2, 10, 25, 7, -0.021
2, 2, 10, 25, 7, -0.014
3, 2, 10, 25, 7, -0.015
4, 2, 10, 25, 7, -0.02
5, 2, 10, 25, 7, -0.016
6, 2, 10, 25, 7, -0.022
7, 2, 10, 25, 7, -0.019
8, 2, 10, 25, 7, -0.014
9, 2, 10, 25, 7, -0.022
10, 2, 10, 25, 7, -0.012
11, 2, 10, 25, 7, -0.016
12, 2, 10, 25, 7, -0.021
13, 2, 10, 25, 7, -0.014
14, 2, 10, 25, 7, -0.011
15, 2, 10, 25, 7, -0.019
16, 2, 10, 25, 7, -0.014
17, 2, 10, 25, 7, -0.017
18, 2, 10, 25, 7, -0.016
19, 2, 10, 25, 7, -0.012
20, 2, 10, 25, 7, -0.014
21, 2, 10, 25, 7, -0.019
22, 2, 10, 25, 7, -0.019
23, 2, 10, 25, 7, -0.014
24, 2, 10, 25, 7, -0.013
25, 2, 10, 25, 7, -0.016
26, 2, 10, 25, 7, -0.012
27, 2, 10, 25, 7, -0.02
28, 2, 10, 25, 7, -0.02
30, 2, 10, 25, 7, -0.018
31, 2, 10, 25, 7, -0.013
32, 2, 10, 25, 7, -0.014
33, 2, 10, 25, 7, -0.011
34, 2, 10, 25, 7, -0.017
35, 2, 10, 25, 7, -0.016
36, 2, 10, 25, 7, -0.015
37, 2, 10, 25, 7, -0.021
38, 2, 10, 25, 7, -0.019
39, 2, 10, 25, 7, -0.011
40, 2, 10, 25, 7, -0.014
1, 2, 10, 25, 7, -0.11
2, 2, 10, 25, 7, -0.16
3, 2, 10, 25, 7, -0.14
4, 2, 10, 25, 7, -0.18
5, 2, 10, 25, 7, -0.08
6, 2, 10, 25, 7, -0.11
7, 2, 10, 25, 7, -0.1
8, 2, 10, 25, 7, -0.11
9, 2, 10, 25, 7, -0.19
10, 2, 10, 25, 7, -0.09
11, 2, 10, 25, 7, -0.09
12, 2, 10, 25, 7, -0.15
13, 2, 10, 25, 7, -0.13
14, 2, 10, 25, 7, -0.13
15, 2, 10, 25, 7, -0.09
16, 2, 10, 25, 7, -0.09
17, 2, 10, 25, 7, -0.2
18, 2, 10, 25, 7, -0.17
19, 2, 10, 25, 7, -0.11
20, 2, 10, 25, 7, -0.09
21, 2, 10, 25, 7, -0.19
22, 2, 10, 25, 7, -0.09
23, 2, 10, 25, 7, -0.16
24, 2, 10, 25, 7, -0.14
25, 2, 10, 25, 7, -0.14
26, 2, 10, 25, 7, -0.2
27, 2, 10, 25, 7, -0.2
28, 2, 10, 25, 7, -0.17
29, 2, 10, 25, 7, -0.15
30, 2, 10, 25, 7, -0.16
31, 2, 10, 25, 7, -0.18
32, 2, 10, 25, 7, -0.2
33, 2, 10, 25, 7, -0.1
34, 2, 10, 25, 7, -0.16
35, 2, 10, 25, 7, -0.08
36, 2, 10, 25, 7, -0.11
37, 2, 10, 25, 7, -0.08
38, 2, 10, 25, 7, -0.19
39, 2, 10, 25, 7, -0.2
40, 2, 10, 25, 7, -0.1
1, 2, 10, 25, 7, -0.013
2, 2, 10, 25, 7, -0.011
3, 2, 10, 25, 7, -0.018
4, 2, 10, 25, 7, -0.017
5, 2, 10, 25, 7, -0.009
6, 2, 10, 25, 7, -0.015
7, 2, 10, 25, 7, -0.019
8, 2, 10, 25, 7, -0.009
9, 2, 10, 25, 7, -0.014
10, 2, 10, 25, 7, -0.019
11, 2, 10, 25, 7, -0.011
12, 2, 10, 25, 7, -0.012
13, 2, 10, 25, 7, -0.009
14, 2, 10, 25, 7, -0.019
15, 2, 10, 25, 7, -0.009
16, 2, 10, 25, 7, -0.016
17, 2, 10, 25, 7, -0.017
18, 2, 10, 25, 7, -0.011
19, 2, 10, 25, 7, -0.009
20, 2, 10, 25, 7, -0.012
21, 2, 10, 25, 7, -0.012
22, 2, 10, 25, 7, -0.017
23, 2, 10, 25, 7, -0.011
24, 2, 10, 25, 7, -0.018
25, 2, 10, 25, 7, -0.01
26, 2, 10, 25, 7, -0.011
27, 2, 10, 25, 7, -0.01
28, 2, 10, 25, 7, -0.011
29, 2, 10, 25, 7, -0.013
30, 2, 10, 25, 7, -0.012
31, 2, 10, 25, 7, -0.014
32, 2, 10, 25, 7, -0.014
33, 2, 10, 25, 7, -0.016
34, 2, 10, 25, 7, -0.015
35, 2, 10, 25, 7, -0.016
36, 2, 10, 25, 7, -0.015
37, 2, 10, 25, 7, -0.019
38, 2, 10, 25, 7, -0.012
39, 2, 10, 25, 7, -0.009
40, 2, 10, 25, 7, -0.014
