Trial,ReferenceNum,Scale,Temperature,pH,Difference
1, 1, 20, 5, 4, -0.11
2, 1, 20, 5, 4, -0.115
3, 1, 20, 5, 4, -0.101
4, 1, 20, 5, 4, -0.117
5, 1, 20, 5, 4, -0.118
6, 1, 20, 5, 4, -0.101
7, 1, 20, 5, 4, -0.107
8, 1, 20, 5, 4, -0.114
9, 1, 20, 5, 4, -0.102
10, 1, 20, 5, 4, -0.104
11, 1, 20, 5, 4, -0.109
12, 1, 20, 5, 4, -0.119
13, 1, 20, 5, 4, -0.118
14, 1, 20, 5, 4, -0.116
15, 1, 20, 5, 4, -0.109
16, 1, 20, 5, 4, -0.107
17, 1, 20, 5, 4, -0.12
18, 1, 20, 5, 4, -0.117
19, 1, 20, 5, 4, -0.109
20, 1, 20, 5, 4, -0.111
21, 1, 20, 5, 4, -0.117
22, 1, 20, 5, 4, -0.119
23, 1, 20, 5, 4, -0.106
24, 1, 20, 5, 4, -0.112
25, 1, 20, 5, 4, -0.117
26, 1, 20, 5, 4, -0.107
27, 1, 20, 5, 4, -0.104
28, 1, 20, 5, 4, -0.102
29, 1, 20, 5, 4, -0.115
30, 1, 20, 5, 4, -0.111
31, 1, 20, 5, 4, -0.114
32, 1, 20, 5, 4, -0.118
33, 1, 20, 5, 4, -0.102
34, 1, 20, 5, 4, -0.113
35, 1, 20, 5, 4, -0.112
36, 1, 20, 5, 4, -0.114
37, 1, 20, 5, 4, -0.109
38, 1, 20, 5, 4, -0.106
39, 1, 20, 5, 4, -0.107
40, 1, 20, 5, 4, -0.102
