Trial,ReferenceNum,Scale,Temperature,pH,Difference
1, 2, 10, 25, 7, -0.061
2, 2, 10, 25, 7, -0.065
3, 2, 10, 25, 7, -0.07
4, 2, 10, 25, 7, -0.061
5, 2, 10, 25, 7, -0.069
6, 2, 10, 25, 7, -0.071
7, 2, 10, 25, 7, -0.061
8, 2, 10, 25, 7, -0.072
9, 2, 10, 25, 7, -0.064
10, 2, 10, 25, 7, -0.07
11, 2, 10, 25, 7, -0.065
12, 2, 10, 25, 7, -0.063
13, 2, 10, 25, 7, -0.071
14, 2, 10, 25, 7, -0.066
15, 2, 10, 25, 7, -0.073
16, 2, 10, 25, 7, -0.066
17, 2, 10, 25, 7, -0.069
18, 2, 10, 25, 7, -0.075
19, 2, 10, 25, 7, -0.073
20, 2, 10, 25, 7, -0.06
21, 2, 10, 25, 7, -0.062
22, 2, 10, 25, 7, -0.063
23, 2, 10, 25, 7, -0.068
24, 2, 10, 25, 7, -0.074
25, 2, 10, 25, 7, -0.06
26, 2, 10, 25, 7, -0.06
27, 2, 10, 25, 7, -0.065
28, 2, 10, 25, 7, -0.068
29, 2, 10, 25, 7, -0.06
30, 2, 10, 25, 7, -0.072
31, 2, 10, 25, 7, -0.062
32, 2, 10, 25, 7, -0.072
33, 2, 10, 25, 7, -0.075
34, 2, 10, 25, 7, -0.07
35, 2, 10, 25, 7, -0.073
36, 2, 10, 25, 7, -0.065
37, 2, 10, 25, 7, -0.066
38, 2, 10, 25, 7, -0.073
39, 2, 10, 25, 7, -0.068
40, 2, 10, 25, 7, -0.066
