Trial,ReferenceNum,Scale,Temperature,pH,Difference
1, 1, 20, 5, 4, -0.039
2, 1, 20, 5, 4, -0.04
3, 1, 20, 5, 4, -0.034
4, 1, 20, 5, 4, -0.04
5, 1, 20, 5, 4, -0.035
6, 1, 20, 5, 4, -0.036
7, 1, 20, 5, 4, -0.032
8, 1, 20, 5, 4, -0.043
9, 1, 20, 5, 4, -0.039
10, 1, 20, 5, 4, -0.032
11, 1, 20, 5, 4, -0.031
12, 1, 20, 5, 4, -0.044
13, 1, 20, 5, 4, -0.032
14, 1, 20, 5, 4, -0.042
15, 1, 20, 5, 4, -0.044
16, 1, 20, 5, 4, -0.042
17, 1, 20, 5, 4, -0.036
18, 1, 20, 5, 4, -0.044
19, 1, 20, 5, 4, -0.04
20, 1, 20, 5, 4, -0.034
21, 1, 20, 5, 4, -0.043
22, 1, 20, 5, 4, -0.039
23, 1, 20, 5, 4, -0.036
24, 1, 20, 5, 4, -0.039
25, 1, 20, 5, 4, -0.035
26, 1, 20, 5, 4, -0.03
27, 1, 20, 5, 4, -0.034
28, 1, 20, 5, 4, -0.036
29, 1, 20, 5, 4, -0.035
30, 1, 20, 5, 4, -0.041
31, 1, 20, 5, 4, -0.039
32, 1, 20, 5, 4, -0.043
33, 1, 20, 5, 4, -0.034
34, 1, 20, 5, 4, -0.04
35, 1, 20, 5, 4, -0.03
36, 1, 20, 5, 4, -0.035
37, 1, 20, 5, 4, -0.045
38, 1, 20, 5, 4, -0.04
39, 1, 20, 5, 4, -0.033
40, 1, 20, 5, 4, -0.033
