Trial,ReferenceNum,Scale,Temperature,pH,Difference
1, 2, 10, 25, 7, -0.049
2, 2, 10, 25, 7, -0.047
3, 2, 10, 25, 7, -0.045
4, 2, 10, 25, 7, -0.055
5, 2, 10, 25, 7, -0.054
6, 2, 10, 25, 7, -0.051
7, 2, 10, 25, 7, -0.045
8, 2, 10, 25, 7, -0.047
9, 2, 10, 25, 7, -0.049
10, 2, 10, 25, 7, -0.055
11, 2, 10, 25, 7, -0.053
12, 2, 10, 25, 7, -0.048
13, 2, 10, 25, 7, -0.051
14, 2, 10, 25, 7, -0.053
15, 2, 10, 25, 7, -0.046
16, 2, 10, 25, 7, -0.047
17, 2, 10, 25, 7, -0.047
18, 2, 10, 25, 7, -0.047
19, 2, 10, 25, 7, -0.054
20, 2, 10, 25, 7, -0.051
21, 2, 10, 25, 7, -0.049
22, 2, 10, 25, 7, -0.049
23, 2, 10, 25, 7, -0.046
24, 2, 10, 25, 7, -0.048
25, 2, 10, 25, 7, -0.054
26, 2, 10, 25, 7, -0.045
27, 2, 10, 25, 7, -0.054
28, 2, 10, 25, 7, -0.047
29, 2, 10, 25, 7, -0.045
30, 2, 10, 25, 7, -0.052
31, 2, 10, 25, 7, -0.052
32, 2, 10, 25, 7, -0.05
33, 2, 10, 25, 7, -0.047
34, 2, 10, 25, 7, -0.05
35, 2, 10, 25, 7, -0.05
36, 2, 10, 25, 7, -0.046
37, 2, 10, 25, 7, -0.049
38, 2, 10, 25, 7, -0.046
39, 2, 10, 25, 7, -0.045
40, 2, 10, 25, 7, -0.045
