Trial,ReferenceNum,Scale,Temperature,pH,Difference
1, 1, 20, 5, 4, -0.035
2, 1, 20, 5, 4, -0.025
3, 1, 20, 5, 4, -0.032
4, 1, 20, 5, 4, -0.028
5, 1, 20, 5, 4, -0.03
6, 1, 20, 5, 4, -0.031
7, 1, 20, 5, 4, -0.035
8, 1, 20, 5, 4, -0.033
9, 1, 20, 5, 4, -0.03
10, 1, 20, 5, 4, -0.032
11, 1, 20, 5, 4, -0.027
12, 1, 20, 5, 4, -0.035
13, 1, 20, 5, 4, -0.035
14, 1, 20, 5, 4, -0.032
15, 1, 20, 5, 4, -0.034
16, 1, 20, 5, 4, -0.035
17, 1, 20, 5, 4, -0.035
18, 1, 20, 5, 4, -0.035
19, 1, 20, 5, 4, -0.034
20, 1, 20, 5, 4, -0.033
21, 1, 20, 5, 4, -0.031
22, 1, 20, 5, 4, -0.025
23, 1, 20, 5, 4, -0.025
24, 1, 20, 5, 4, -0.031
25, 1, 20, 5, 4, -0.031
26, 1, 20, 5, 4, -0.028
27, 1, 20, 5, 4, -0.035
28, 1, 20, 5, 4, -0.031
29, 1, 20, 5, 4, -0.028
30, 1, 20, 5, 4, -0.031
31, 1, 20, 5, 4, -0.029
32, 1, 20, 5, 4, -0.034
33, 1, 20, 5, 4, -0.035
34, 1, 20, 5, 4, -0.032
35, 1, 20, 5, 4, -0.027
36, 1, 20, 5, 4, -0.033
37, 1, 20, 5, 4, -0.026
38, 1, 20, 5, 4, -0.028
39, 1, 20, 5, 4, -0.025
40, 1, 20, 5, 4, -0.032
