Trial,ReferenceNum,Scale,Temperature,pH,Difference
1, 2, 10, 25, 7, -0.021
2, 2, 10, 25, 7, -0.014
3, 2, 10, 25, 7, -0.015
4, 2, 10, 25, 7, -0.02
5, 2, 10, 25, 7, -0.016
6, 2, 10, 25, 7, -0.022
7, 2, 10, 25, 7, -0.019
8, 2, 10, 25, 7, -0.014
9, 2, 10, 25, 7, -0.022
10, 2, 10, 25, 7, -0.012
11, 2, 10, 25, 7, -0.016
12, 2, 10, 25, 7, -0.021
13, 2, 10, 25, 7, -0.014
14, 2, 10, 25, 7, -0.011
15, 2, 10, 25, 7, -0.019
16, 2, 10, 25, 7, -0.014
17, 2, 10, 25, 7, -0.017
18, 2, 10, 25, 7, -0.016
19, 2, 10, 25, 7, -0.012
20, 2, 10, 25, 7, -0.014
21, 2, 10, 25, 7, -0.019
22, 2, 10, 25, 7, -0.019
23, 2, 10, 25, 7, -0.014
24, 2, 10, 25, 7, -0.013
25, 2, 10, 25, 7, -0.016
26, 2, 10, 25, 7, -0.012
27, 2, 10, 25, 7, -0.02
28, 2, 10, 25, 7, -0.02
30, 2, 10, 25, 7, -0.018
31, 2, 10, 25, 7, -0.013
32, 2, 10, 25, 7, -0.014
33, 2, 10, 25, 7, -0.011
34, 2, 10, 25, 7, -0.017
35, 2, 10, 25, 7, -0.016
36, 2, 10, 25, 7, -0.015
37, 2, 10, 25, 7, -0.021
38, 2, 10, 25, 7, -0.019
39, 2, 10, 25, 7, -0.011
40, 2, 10, 25, 7, -0.014
