Trial,ReferenceNum,Scale,Temperature,pH,Difference
1, 1, 20, 5, 4, -0.34
2, 1, 20, 5, 4, -0.3
3, 1, 20, 5, 4, -0.31
4, 1, 20, 5, 4, -0.38
5, 1, 20, 5, 4, -0.34
6, 1, 20, 5, 4, -0.32
7, 1, 20, 5, 4, -0.34
8, 1, 20, 5, 4, -0.36
9, 1, 20, 5, 4, -0.39
10, 1, 20, 5, 4, -0.32
11, 1, 20, 5, 4, -0.34
12, 1, 20, 5, 4, -0.3
13, 1, 20, 5, 4, -0.39
14, 1, 20, 5, 4, -0.36
15, 1, 20, 5, 4, -0.38
16, 1, 20, 5, 4, -0.38
17, 1, 20, 5, 4, -0.34
18, 1, 20, 5, 4, -0.4
19, 1, 20, 5, 4, -0.39
20, 1, 20, 5, 4, -0.38
21, 1, 20, 5, 4, -0.38
22, 1, 20, 5, 4, -0.32
23, 1, 20, 5, 4, -0.32
24, 1, 20, 5, 4, -0.3
25, 1, 20, 5, 4, -0.38
26, 1, 20, 5, 4, -0.3
27, 1, 20, 5, 4, -0.38
28, 1, 20, 5, 4, -0.39
29, 1, 20, 5, 4, -0.35
30, 1, 20, 5, 4, -0.39
31, 1, 20, 5, 4, -0.32
32, 1, 20, 5, 4, -0.34
33, 1, 20, 5, 4, -0.38
34, 1, 20, 5, 4, -0.3
35, 1, 20, 5, 4, -0.3
36, 1, 20, 5, 4, -0.36
37, 1, 20, 5, 4, -0.33
38, 1, 20, 5, 4, -0.31
39, 1, 20, 5, 4, -0.39
40, 1, 20, 5, 4, -0.36
