Trial,ReferenceNum,Scale,Temperature,pH,Difference
1, 2, 10, 25, 7, -0.11
2, 2, 10, 25, 7, -0.16
3, 2, 10, 25, 7, -0.14
4, 2, 10, 25, 7, -0.18
5, 2, 10, 25, 7, -0.08
6, 2, 10, 25, 7, -0.11
7, 2, 10, 25, 7, -0.1
8, 2, 10, 25, 7, -0.11
9, 2, 10, 25, 7, -0.19
10, 2, 10, 25, 7, -0.09
11, 2, 10, 25, 7, -0.09
12, 2, 10, 25, 7, -0.15
13, 2, 10, 25, 7, -0.13
14, 2, 10, 25, 7, -0.13
15, 2, 10, 25, 7, -0.09
16, 2, 10, 25, 7, -0.09
17, 2, 10, 25, 7, -0.2
18, 2, 10, 25, 7, -0.17
19, 2, 10, 25, 7, -0.11
20, 2, 10, 25, 7, -0.09
21, 2, 10, 25, 7, -0.19
22, 2, 10, 25, 7, -0.09
23, 2, 10, 25, 7, -0.16
24, 2, 10, 25, 7, -0.14
25, 2, 10, 25, 7, -0.14
26, 2, 10, 25, 7, -0.2
27, 2, 10, 25, 7, -0.2
28, 2, 10, 25, 7, -0.17
29, 2, 10, 25, 7, -0.15
30, 2, 10, 25, 7, -0.16
31, 2, 10, 25, 7, -0.18
32, 2, 10, 25, 7, -0.2
33, 2, 10, 25, 7, -0.1
34, 2, 10, 25, 7, -0.16
35, 2, 10, 25, 7, -0.08
36, 2, 10, 25, 7, -0.11
37, 2, 10, 25, 7, -0.08
38, 2, 10, 25, 7, -0.19
39, 2, 10, 25, 7, -0.2
40, 2, 10, 25, 7, -0.1
