Trial,ReferenceNum,Scale,Temperature,pH,Difference
1, 1, 20, 5, 4, -0.087
2, 1, 20, 5, 4, -0.086
3, 1, 20, 5, 4, -0.085
4, 1, 20, 5, 4, -0.083
5, 1, 20, 5, 4, -0.087
6, 1, 20, 5, 4, -0.086
7, 1, 20, 5, 4, -0.086
8, 1, 20, 5, 4, -0.082
9, 1, 20, 5, 4, -0.086
10, 1, 20, 5, 4, -0.081
11, 1, 20, 5, 4, -0.087
12, 1, 20, 5, 4, -0.089
13, 1, 20, 5, 4, -0.087
14, 1, 20, 5, 4, -0.091
15, 1, 20, 5, 4, -0.083
16, 1, 20, 5, 4, -0.083
17, 1, 20, 5, 4, -0.084
18, 1, 20, 5, 4, -0.089
19, 1, 20, 5, 4, -0.088
20, 1, 20, 5, 4, -0.089
21, 1, 20, 5, 4, -0.09
22, 1, 20, 5, 4, -0.084
23, 1, 20, 5, 4, -0.085
24, 1, 20, 5, 4, -0.088
25, 1, 20, 5, 4, -0.084
26, 1, 20, 5, 4, -0.087
27, 1, 20, 5, 4, -0.087
28, 1, 20, 5, 4, -0.088
29, 1, 20, 5, 4, -0.084
31, 1, 20, 5, 4, -0.09
32, 1, 20, 5, 4, -0.085
33, 1, 20, 5, 4, -0.088
34, 1, 20, 5, 4, -0.084
35, 1, 20, 5, 4, -0.083
36, 1, 20, 5, 4, -0.083
37, 1, 20, 5, 4, -0.087
38, 1, 20, 5, 4, -0.091
39, 1, 20, 5, 4, -0.089
40, 1, 20, 5, 4, -0.083
