Trial,ReferenceNum,Scale,Temperature,pH,Difference
1, 2, 10, 25, 7, -0.013
2, 2, 10, 25, 7, -0.011
3, 2, 10, 25, 7, -0.018
4, 2, 10, 25, 7, -0.017
5, 2, 10, 25, 7, -0.009
6, 2, 10, 25, 7, -0.015
7, 2, 10, 25, 7, -0.019
8, 2, 10, 25, 7, -0.009
9, 2, 10, 25, 7, -0.014
10, 2, 10, 25, 7, -0.019
11, 2, 10, 25, 7, -0.011
12, 2, 10, 25, 7, -0.012
13, 2, 10, 25, 7, -0.009
14, 2, 10, 25, 7, -0.019
15, 2, 10, 25, 7, -0.009
16, 2, 10, 25, 7, -0.016
17, 2, 10, 25, 7, -0.017
18, 2, 10, 25, 7, -0.011
19, 2, 10, 25, 7, -0.009
20, 2, 10, 25, 7, -0.012
21, 2, 10, 25, 7, -0.012
22, 2, 10, 25, 7, -0.017
23, 2, 10, 25, 7, -0.011
24, 2, 10, 25, 7, -0.018
25, 2, 10, 25, 7, -0.01
26, 2, 10, 25, 7, -0.011
27, 2, 10, 25, 7, -0.01
28, 2, 10, 25, 7, -0.011
29, 2, 10, 25, 7, -0.013
30, 2, 10, 25, 7, -0.012
31, 2, 10, 25, 7, -0.014
32, 2, 10, 25, 7, -0.014
33, 2, 10, 25, 7, -0.016
34, 2, 10, 25, 7, -0.015
35, 2, 10, 25, 7, -0.016
36, 2, 10, 25, 7, -0.015
37, 2, 10, 25, 7, -0.019
38, 2, 10, 25, 7, -0.012
39, 2, 10, 25, 7, -0.009
40, 2, 10, 25, 7, -0.014
